Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 100 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
0. disappointingly generic nature  [ID: 65327]
 ##### 
1. 'll find yourself remembering this refreshing visit to a sunshine state .  [ID: 6176]
 ##### 
2. smart , funny and just honest enough to provide the pleasures of a slightly naughty , just-above-average off - broadway play  [ID: 30259]
 ##### 
3. energetic and sweetly  [ID: 31310]
 ##### 
4. coherent rhythm  [ID: 24964]
 ##### 
5. were afraid to show this movie to reviewers before its opening , afraid of the bad reviews they thought they 'd earn  [ID: 28808]
 ##### 
6. a certain robustness to this engaging mix of love and bloodletting  [ID: 38345]
 ##### 
7. whose teeth are a little too big for her mouth  [ID: 32210]
 ##### 
8. weepy melodrama  [ID: 22798]
 ##### 
9. still show virtually no understanding of it  [ID: 17672]
 ##### 
10. contrived sequels  [ID: 50476]
 ##### 
11. a certain sexiness underlines even the dullest tangents .  [ID: 35470]
 ##### 
12. in too many conflicts  [ID: 21220]
 ##### 
13. the hook is the drama within the drama , as an unsolved murder and an unresolved moral conflict jockey for the spotlight .  [ID: 8274]
 ##### 
14. left to work with , sort of like michael jackson 's nose  [ID: 66004]
 ##### 
15. it ai n't art , by a long shot  [ID: 17418]
 ##### 
16. top-notch  [ID: 54665]
 ##### 
17. extremely unpleasant film  [ID: 39533]
 ##### 
18. , i can not mount a cogent defense of the film as entertainment , or even performance art , although the movie does leave you marveling at these guys ' superhuman capacity to withstand pain .  [ID: 54545]
 ##### 
19. some laughs  [ID: 50033]
 ##### 
20. false  [ID: 19423]
 ##### 
21. the proud warrior that still lingers in the souls of these characters  [ID: 23141]
 ##### 
22. tolerable-to-adults lark of a movie  [ID: 57030]
 ##### 
23. see it twice  [ID: 24667]
 ##### 
24. sit through it again  [ID: 37830]
 ##### 
25. as saccharine as it is disposable .  [ID: 8038]
 ##### 
26. will probably find it fascinating  [ID: 2381]
 ##### 
27. unusual but unfortunately also  [ID: 18492]
 ##### 
28. leaden script  [ID: 11094]
 ##### 
29. are well done and perfectly  [ID: 32148]
 ##### 
30. breathes life into a roll that could have otherwise been bland and run of the mill  [ID: 15695]
 ##### 
31. recommend snow dogs  [ID: 30465]
 ##### 
32. as for children , they wo n't enjoy the movie at all .  [ID: 16161]
 ##### 
33. allows the mind to enter and accept another world  [ID: 40068]
 ##### 
34. 's a treat -- a delightful , witty , improbable romantic comedy with a zippy jazzy score  [ID: 56549]
 ##### 
35. the pitfalls  [ID: 44030]
 ##### 
36. right tone  [ID: 59668]
 ##### 
37. blessed with two fine , nuanced lead performances  [ID: 494]
 ##### 
38. this is n't a stand up and cheer flick ; it 's a sit down and ponder affair .  [ID: 23458]
 ##### 
39. is familiar but enjoyable  [ID: 32534]
 ##### 
40. proves that director m. night shyamalan can weave an eerie spell and that mel gibson can gasp , shudder and even tremble without losing his machismo .  [ID: 67279]
 ##### 
41. has all the values of a straight-to-video movie  [ID: 5106]
 ##### 
42. the layered richness of the imagery in this chiaroscuro of madness and light  [ID: 17578]
 ##### 
43. a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration  [ID: 56776]
 ##### 
44. is a shame that more wo n't get an opportunity to embrace small , sweet ` evelyn .  [ID: 23547]
 ##### 
45. fresh and raw like a blown-out vein , narc takes a walking-dead , cop-flick subgenre and beats new life into it .  [ID: 30108]
 ##### 
46. -- from its ripe recipe , inspiring ingredients , certified  [ID: 16162]
 ##### 
47. about the filmmaker 's characteristic style  [ID: 48065]
 ##### 
48. resolutely unamusing , how thoroughly unrewarding all of this is  [ID: 36311]
 ##### 
49. simone '' is a fun and funky look into an artificial creation in a world that thrives on artificiality .  [ID: 64740]
 ##### 
50. a satisfying well-made romantic comedy  [ID: 2010]
 ##### 
51. muddled , melodramatic paranormal romance is an all-time low for kevin costner .  [ID: 22926]
 ##### 
52. after drinking twelve beers  [ID: 48665]
 ##### 
53. too slight to be called any kind of masterpiece  [ID: 3758]
 ##### 
54. blond honeys  [ID: 66336]
 ##### 
55. unexpected comedy  [ID: 47532]
 ##### 
56. a visually stunning rumination  [ID: 24909]
 ##### 
57. a fault  [ID: 49825]
 ##### 
58. my indignant , preemptive departure  [ID: 16006]
 ##### 
59. -- a nice , harmless date film  [ID: 2453]
 ##### 
60. while the movie is slightly less successful than the first  [ID: 58189]
 ##### 
61. by which all the queen 's men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen  [ID: 18937]
 ##### 
62. humble  [ID: 43634]
 ##### 
63. adaptation is intricately constructed and in a strange way nails all of orlean 's themes without being a true adaptation of her book  [ID: 40779]
 ##### 
64. giggling  [ID: 31127]
 ##### 
65. for quality and a nostalgic , twisty yarn that will keep them guessing  [ID: 13134]
 ##### 
66. the film buzz and whir ;  [ID: 16659]
 ##### 
67. men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .  [ID: 190]
 ##### 
68. that cuts to the chase of the modern girl 's dilemma  [ID: 65092]
 ##### 
69. sweeping and gliding  [ID: 14597]
 ##### 
70. best little `` horror '' movie  [ID: 3837]
 ##### 
71. the most enchanting film of the year  [ID: 46268]
 ##### 
72. a guilty pleasure to watch  [ID: 53892]
 ##### 
73. , at least he provides a strong itch to explore more .  [ID: 15666]
 ##### 
74. it 's light on the chills and heavy on the atmospheric weirdness , and there are moments of jaw-droppingly odd behavior -- yet i found it weirdly appealing .  [ID: 10554]
 ##### 
75. slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but  [ID: 17487]
 ##### 
76. if this sappy script was the best the contest received , those rejected must have been astronomically bad  [ID: 30055]
 ##### 
77. on an irresistible , languid romanticism  [ID: 47543]
 ##### 
78. , the dialogue sounds like horrible poetry .  [ID: 11093]
 ##### 
79. lasting impression  [ID: 41695]
 ##### 
80. down memory lane  [ID: 45963]
 ##### 
81. classy , sprightly spin  [ID: 26293]
 ##### 
82. it 's hard to believe that something so short could be so flabby .  [ID: 39054]
 ##### 
83. slightly less successful than the first  [ID: 23024]
 ##### 
84. softheaded metaphysical claptrap  [ID: 60493]
 ##### 
85. find their own rhythm and protect each other from the script 's bad ideas and awkwardness .  [ID: 58065]
 ##### 
86. picked me up  [ID: 53789]
 ##### 
87. yellow asphalt is an uncompromising film .  [ID: 26619]
 ##### 
88. having a hard time believing people were paid to make it  [ID: 61359]
 ##### 
89. is a funny ( sometimes hilarious ) comedy with a deft sense of humor about itself , a playful spirit and a game cast  [ID: 55139]
 ##### 
90. would quickly change the channel  [ID: 56518]
 ##### 
91. , the seesawing of the general 's fate in the arguments of competing lawyers has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy .  [ID: 14830]
 ##### 
92. in spite of featuring a script credited to no fewer than five writers , apparently nobody here bothered to check it twice .  [ID: 26706]
 ##### 
93. naomi watts is terrific as rachel ;  [ID: 19421]
 ##### 
94. it 's no lie -- big fat liar is a real charmer .  [ID: 51842]
 ##### 
95. some very good acting , dialogue ,  [ID: 29448]
 ##### 
96. , old-fashioned-movie movie  [ID: 65437]
 ##### 
97. may cause you to bite your tongue to keep from laughing at the ridiculous dialog or the oh-so convenient plot twists .  [ID: 43845]
 ##### 
98. 've completely lowered your entertainment standards  [ID: 32712]
 ##### 
99. stylish cinematography  [ID: 50783]
 ##### 
100. soulful gravity  [ID: 32719]
 ##### 
101. is nearly impossible to look at or understand  [ID: 42714]
 ##### 
102. wildly incompetent  [ID: 15395]
 ##### 
103. the highest power  [ID: 25024]
 ##### 
104. be an unendurable viewing experience for this ultra-provincial new yorker if 26-year-old reese witherspoon were not on hand to inject her pure fantasy character , melanie carmichael , with a massive infusion of old-fashioned hollywood magic  [ID: 21993]
 ##### 
105. involved , starting with spielberg and going right through the ranks of the players -- on-camera and off -- that he brings together .  [ID: 36182]
 ##### 
106. his edits , unlike those in moulin rouge , are crisp and purposeful without overdoing it  [ID: 42602]
 ##### 
107. by a warmth that is n't faked  [ID: 43841]
 ##### 
108. the humans are acting like puppets  [ID: 50393]
 ##### 
109. some serious suspense  [ID: 1043]
 ##### 
110. the movie makes two hours feel like four .  [ID: 62567]
 ##### 
111. , self-assured  [ID: 34005]
 ##### 
112. is , arguably , the most accomplished work to date from hong kong 's versatile stanley kwan .  [ID: 805]
 ##### 
113. for words , for its eccentric , accident-prone characters , and for the crazy things that keep people going in this crazy life  [ID: 38845]
 ##### 
114. the half-lit , sometimes creepy intimacy of college dorm rooms , a subtlety that makes the silly , over-the-top coda especially disappointing  [ID: 36562]
 ##### 
115. a sensitive , moving  [ID: 63561]
 ##### 
116. has a pleasing way with a metaphor .  [ID: 63754]
 ##### 
117. you do n't have the slightest difficulty accepting him in the role .  [ID: 58994]
 ##### 
118. fun , popcorn movies  [ID: 3045]
 ##### 
119. neatly  [ID: 23391]
 ##### 
120. to find a compelling dramatic means of addressing a complex situation  [ID: 16189]
 ##### 
121. if she had to sit through it again , she should ask for a raise  [ID: 19699]
 ##### 
122. of the vulgar , sexist , racist humor  [ID: 29798]
 ##### 
123. a lame romantic comedy  [ID: 59742]
 ##### 
124. that elevate `` glory '' above most of its ilk  [ID: 50604]
 ##### 
125. wilco fans will have a great time  [ID: 52983]
 ##### 
126. a bit of a phony relationship  [ID: 18359]
 ##### 
127. the scenes of torture and self-mutilation  [ID: 16843]
 ##### 
128. fright  [ID: 32096]
 ##### 
129. in a vat of failed jokes , twitchy acting , and general boorishness  [ID: 23793]
 ##### 
130. larger-than-life figure  [ID: 15768]
 ##### 
131. as brave and challenging  [ID: 1821]
 ##### 
132. if that does n't clue you in that something 's horribly wrong , nothing will .  [ID: 43468]
 ##### 
133. must shoot it in the head  [ID: 9153]
 ##### 
134. whiny pouty-lipped poof  [ID: 48885]
 ##### 
135. a distinguished film legacy  [ID: 21136]
 ##### 
136. is too long with too little  [ID: 38559]
 ##### 
137. it 's more than a worthwhile effort  [ID: 31122]
 ##### 
138. just another generic drama  [ID: 25182]
 ##### 
139. boorish  [ID: 53568]
 ##### 
140. this is one of those war movies that focuses on human interaction rather than battle and action sequences ... and it 's all the stronger because of it .  [ID: 4878]
 ##### 
141. , brutally clueless  [ID: 52813]
 ##### 
142. an intricate plot  [ID: 66100]
 ##### 
143. already knows it 's won  [ID: 37390]
 ##### 
144. it has its faults , but  [ID: 56947]
 ##### 
145. a wonderfully speculative character study that made up for its rather slow beginning by drawing me into the picture .  [ID: 15286]
 ##### 
146. neil burger here succeeded in ... making the mystery of four decades back the springboard for a more immediate mystery in the present .  [ID: 5626]
 ##### 
147. has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness  [ID: 30936]
 ##### 
148. be both hugely entertaining and uplifting  [ID: 39567]
 ##### 
149. indeed almost never , is such high-wattage brainpower coupled with pitch-perfect acting and an exquisite , unfakable sense of cinema .  [ID: 63166]
 ##### 
150. reveals itself slowly , intelligently , artfully .  [ID: 26913]
 ##### 
151. like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge  [ID: 30051]
 ##### 
152. the diverse , marvelously twisted shapes history  [ID: 43111]
 ##### 
153. that delivers on the promise of excitement  [ID: 2150]
 ##### 
154. the all-too-familiar dramatic arc  [ID: 15643]
 ##### 
155. it 's a loathsome movie ,  [ID: 54220]
 ##### 
156. fest that 'll put hairs on your chest .  [ID: 6133]
 ##### 
157. poverty  [ID: 8770]
 ##### 
158. proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film  [ID: 1411]
 ##### 
159. green ruins every single scene he 's in ,  [ID: 59471]
 ##### 
160. contenders  [ID: 4909]
 ##### 
161. make the most sincere and artful movie in which adam sandler will probably ever appear  [ID: 19314]
 ##### 
162. is banal in its message and the choice of material to convey it  [ID: 58564]
 ##### 
163. some cute moments , funny scenes  [ID: 13578]
 ##### 
164. takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading  [ID: 31434]
 ##### 
165. , one the public rarely sees .  [ID: 4680]
 ##### 
166. destroy  [ID: 43761]
 ##### 
167. monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids  [ID: 58012]
 ##### 
168. is as delightful  [ID: 14441]
 ##### 
169. is his best film  [ID: 33812]
 ##### 
170. a sour taste in your mouth  [ID: 23499]
 ##### 
171. , french director anne fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition  [ID: 24050]
 ##### 
172. one summer film that satisfies  [ID: 26497]
 ##### 
173. director robert j. siegel allows the characters to inhabit their world without cleaving to a narrative arc .  [ID: 48148]
 ##### 
