Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 25 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
800. best ensemble casts  [ID: 53994]
 ##### 
801. interesting matters of identity and heritage  [ID: 9857]
 ##### 
802. excruciatingly  [ID: 10928]
 ##### 
803. comes far closer than many movies to expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness .  [ID: 22675]
 ##### 
804. its emotional power  [ID: 45121]
 ##### 
805. an incoherent jumble  [ID: 52384]
 ##### 
806. moments to keep it entertaining  [ID: 36241]
 ##### 
807. though its rather routine script is loaded with familiar situations , the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should .  [ID: 50381]
 ##### 
808. by the movie 's presentation , which is way too stagy  [ID: 33400]
 ##### 
809. a fantastically vital movie that manages to invest real humor , sensuality , and sympathy into a story about two adolescent boys .  [ID: 57610]
 ##### 
810. it awfully hard to buy the impetus for the complicated love triangle that develops between the three central characters  [ID: 50216]
 ##### 
811. been bland  [ID: 37387]
 ##### 
812. usual fluttering and stammering  [ID: 32321]
 ##### 
813. the year 's worst cinematic tragedies  [ID: 51464]
 ##### 
814. the young stars are too cute ; the story and ensuing complications are too manipulative ; the message is too blatant  [ID: 2233]
 ##### 
815. very amusing  [ID: 51302]
 ##### 
816. a remarkable amount of material in the film 's short 90 minutes  [ID: 57154]
 ##### 
817. has the uncanny ability to right itself precisely when you think it 's in danger of going wrong  [ID: 16926]
 ##### 
818. is a film living far too much in its own head  [ID: 52211]
 ##### 
819. a determined woman 's courage to find her husband in a war zone  [ID: 18415]
 ##### 
820. french cinema 's master craftsmen  [ID: 23722]
 ##### 
821. jagjit  [ID: 58701]
 ##### 
822. does n't care about cleverness , wit or any other kind of intelligent humor .  [ID: 33353]
 ##### 
823. a cutesy romantic tale with a twist .  [ID: 21120]
 ##### 
824. an improvement on the first blade  [ID: 45729]
 ##### 
825. frozen tundra soap opera  [ID: 5084]
 ##### 
826. pallid horror  [ID: 59188]
 ##### 
827. could possibly be more contemptuous of the single female population  [ID: 12623]
 ##### 
828. be an enjoyable choice for younger kids  [ID: 7026]
 ##### 
829. to scale the lunatic heights of joe dante 's similarly styled gremlins  [ID: 5178]
 ##### 
830. its seriousness and quality  [ID: 58419]
 ##### 
831. and the positive change in tone here seems to have recharged him .  [ID: 46256]
 ##### 
832. itself , a playful spirit and a game cast  [ID: 2747]
 ##### 
833. i truly enjoyed most of mostly martha while i ne  [ID: 9103]
 ##### 
834. a cutesy romantic tale  [ID: 13195]
 ##### 
835. ` funny  [ID: 45847]
 ##### 
836. what -- and has all the dramatic weight of a raindrop  [ID: 60023]
 ##### 
837. -- casting excellent latin actors of all ages --  [ID: 11140]
 ##### 
838. it 's not a motion picture ; it 's an utterly static picture .  [ID: 65775]
 ##### 
839. parents beware ;  [ID: 47190]
 ##### 
840. graphic sex may be what 's attracting audiences to unfaithful , but gripping performances by lane and gere are what will keep them awake  [ID: 66514]
 ##### 
841. piss on trees , b.s. one another  [ID: 47292]
 ##### 
842. elegant  [ID: 3907]
 ##### 
843. arch and rather cold-blooded comedy  [ID: 16658]
 ##### 
844. the most wondrous love story in years , it is a great film .  [ID: 959]
 ##### 
845. 's just as wonderful on the big screen .  [ID: 17187]
 ##### 
846. the bai brothers have taken an small slice of history and opened it up for all of us to understand , and  [ID: 57088]
 ##### 
847. , nicholas nickleby is too much like a fragment of an underdone potato .  [ID: 46931]
 ##### 
848. impossible to claim that it is `` based on a true story ''  [ID: 66476]
 ##### 
849. alfred hitchcock 's thrillers ,  [ID: 56736]
 ##### 
850. the most compelling performance of the year adds substantial depth to this shocking testament to anti-semitism and neo-fascism .  [ID: 26146]
 ##### 
851. sensuality and a conniving wit  [ID: 9065]
 ##### 
852. frustratingly timid and soggy  [ID: 26449]
 ##### 
853. much of the writing is genuinely witty  [ID: 21393]
 ##### 
854. entertaining  [ID: 50635]
 ##### 
855. its willingness to explore its principal characters with honesty , insight and humor  [ID: 8788]
 ##### 
856. 'll cry for your money back .  [ID: 37872]
 ##### 
857. languishing  [ID: 53360]
 ##### 
