Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 20 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
0. our moviemakers  [ID: 40625]
 ##### 
1. a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .  [ID: 35344]
 ##### 
2. tsai has a well-deserved reputation as one of the cinema world 's great visual stylists , and in this film , every shot enhances the excellent performances  [ID: 57833]
 ##### 
3. the most exciting action films  [ID: 19244]
 ##### 
4. muddled , melodramatic paranormal romance is an all-time low for kevin costner .  [ID: 22926]
 ##### 
5. a generic international version of a typical american horror film  [ID: 6902]
 ##### 
6. true to its title , it traps audiences in a series of relentlessly nasty situations that we would pay a considerable ransom not to be looking at .  [ID: 57195]
 ##### 
7. is this films reason for being .  [ID: 916]
 ##### 
8. has something fascinating to do  [ID: 61467]
 ##### 
9. energetic , extreme-sports adventure  [ID: 10517]
 ##### 
10. all-powerful ,  [ID: 33607]
 ##### 
11. meyjes ' provocative film might be called an example of the haphazardness of evil .  [ID: 41482]
 ##### 
12. are not to be dismissed  [ID: 26586]
 ##### 
13. , and smugly suggests a superior moral tone is more important than filmmaking skill  [ID: 52816]
 ##### 
14. lightweight but appealing .  [ID: 30553]
 ##### 
15. an occasionally interesting but mostly repetitive  [ID: 13679]
 ##### 
16. the performances are remarkable .  [ID: 57027]
 ##### 
17. amazingly dopey .  [ID: 45840]
 ##### 
18. they come , already having been recycled more times than i 'd care to count  [ID: 58320]
 ##### 
19. it 's too loud to shout insults at the screen  [ID: 563]
 ##### 
20. unrewarding  [ID: 7812]
 ##### 
21. the results are honest  [ID: 6418]
 ##### 
22. is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle .  [ID: 21302]
 ##### 
23. in an admittedly middling film  [ID: 45321]
 ##### 
24. hollywood horror  [ID: 61069]
 ##### 
