Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 25 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
1595. no way original  [ID: 32649]
 ##### 
1596. is more interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run  [ID: 9140]
 ##### 
1597. actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese  [ID: 58458]
 ##### 
1598. an enjoyably frothy ` date movie ' ...  [ID: 24028]
 ##### 
1599. intense and engrossing  [ID: 65081]
 ##### 
1600. lack depth or complexity  [ID: 10983]
 ##### 
1601. if it is generally amusing from time to time  [ID: 6295]
 ##### 
1602. by kevin bray , whose crisp framing , edgy camera work , and wholesale ineptitude with acting , tone and pace very obviously mark him as a video helmer making his feature debut  [ID: 27622]
 ##### 
1603. festival  [ID: 1093]
 ##### 
1604. is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love .  [ID: 22112]
 ##### 
1605. made the first one charming  [ID: 5054]
 ##### 
1606. , the movie is busy contriving false , sitcom-worthy solutions to their problems .  [ID: 25330]
 ##### 
1607. 's unfortunate  [ID: 8466]
 ##### 
1608. 's rare to see a movie that takes such a speedy swan dive from `` promising '' to `` interesting '' to `` familiar '' before landing squarely on `` stupid ''  [ID: 59696]
 ##### 
1609. bisset  [ID: 27190]
 ##### 
1610. the kids in the audience at the preview screening seemed bored , cheering the pratfalls but little else ; their parents , wise folks that they are , read books .  [ID: 10475]
 ##### 
1611. a slice of counterculture  [ID: 11152]
 ##### 
1612. the film has an infectious enthusiasm and  [ID: 16678]
 ##### 
1613. lacks the skill or presence to regain any ground  [ID: 36025]
 ##### 
1614. insightfully written , delicately performed  [ID: 15610]
 ##### 
1615. remains uniquely itself  [ID: 44597]
 ##### 
1616. does not have , beginning with the minor omission of a screenplay  [ID: 7011]
 ##### 
1617. super - violent ,  [ID: 30948]
 ##### 
1618. worst excesses  [ID: 15176]
 ##### 
1619. that satisfies , as comfort food often can  [ID: 35072]
 ##### 
1620. felt and vividly detailed story about newcomers in a strange new world  [ID: 66357]
 ##### 
1621. damon/bourne or  [ID: 37582]
 ##### 
1622. , relaxed in its perfect quiet pace and proud in its message .  [ID: 54544]
 ##### 
1623. both heartbreaking  [ID: 44993]
 ##### 
1624. viewers will wish there had been more of the `` queen '' and less of the `` damned . ''  [ID: 42599]
