Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 32 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
0. new kind  [ID: 64309]
 ##### 
1. seems little different  [ID: 28769]
 ##### 
2. funnier version of the old police academy flicks  [ID: 64545]
 ##### 
3. ( reynolds ) takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch .  [ID: 4648]
 ##### 
4. fine music  [ID: 51167]
 ##### 
5. a step further , richer  [ID: 13445]
 ##### 
6. developed characters  [ID: 50273]
 ##### 
7. a clever script  [ID: 11071]
 ##### 
8. practically every facet of inept filmmaking  [ID: 59437]
 ##### 
9. 's icky .  [ID: 56061]
 ##### 
10. local  [ID: 66825]
 ##### 
11. is funny and pithy ,  [ID: 59830]
 ##### 
12. an interesting topic ,  [ID: 47548]
 ##### 
13. a slice of counterculture that might be best forgotten  [ID: 28789]
 ##### 
14. ( the film ) works , due mostly to the tongue-in-cheek attitude of the screenplay  [ID: 35035]
 ##### 
15. none of this is meaningful or memorable , but  [ID: 22479]
 ##### 
16. fails to spark this leaden comedy  [ID: 45776]
 ##### 
17. , even delectable  [ID: 7878]
 ##### 
18. 's a real shame that so much of the movie -- again , as in the animal -- is a slapdash mess  [ID: 22716]
 ##### 
19. witty and sophisticated  [ID: 12933]
 ##### 
20. the translation ... another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise  [ID: 55923]
 ##### 
21. one of the worst of the entire franchise  [ID: 61252]
 ##### 
22. aspires to the cracked lunacy of the adventures of buckaroo banzai , but thanks to an astonishingly witless script  [ID: 14233]
 ##### 
23. to sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as phoenix 's  [ID: 13067]
 ##### 
24. a fascinating examination  [ID: 33734]
 ##### 
25. is this films reason for being .  [ID: 916]
 ##### 
26. it 's clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 minutes seem twice as long .  [ID: 25773]
 ##### 
27. weightless that a decent draft in the auditorium might blow it off the screen .  [ID: 36685]
 ##### 
28. sly , intricate magic  [ID: 23663]
 ##### 
29. fairly basic comedic constructs  [ID: 17217]
 ##### 
30. the script , the gags , the characters are all direct-to-video stuff , and  [ID: 46212]
 ##### 
31. , purpose and emotionally bruised characters  [ID: 41281]
 ##### 
32. aggressive self-glorification and a manipulative whitewash  [ID: 14308]
 ##### 
33. buoyant , expressive flow  [ID: 24711]
 ##### 
34. juiced  [ID: 21455]
 ##### 
35. indifferent  [ID: 8001]
 ##### 
36. we can enjoy as mild escapism  [ID: 63206]
 ##### 
37. introverted young men with fantasy fetishes  [ID: 49741]
 ##### 
38. everlasting  [ID: 48054]
 ##### 
39. about the worst thing chan has done in the united states  [ID: 8067]
 ##### 
40. deviant  [ID: 48388]
 ##### 
41. charismatic jackie chan  [ID: 55298]
 ##### 
42. finely crafted , finely written , exquisitely performed  [ID: 65210]
 ##### 
43. of the match that should be used to burn every print of the film  [ID: 17042]
 ##### 
44. priceless  [ID: 65260]
 ##### 
45. that no amount of earnest textbook psychologizing can bridge  [ID: 37938]
 ##### 
46. chance to revitalize what is and always has been remarkable about clung-to traditions  [ID: 33423]
 ##### 
47. wimps out by going for that pg-13 rating , so the more graphic violence is mostly off-screen and the sexuality is muted .  [ID: 19255]
 ##### 
48. the modern master of the chase sequence returns with a chase to end all chases  [ID: 18851]
 ##### 
49. that try too hard to be mythic  [ID: 53678]
 ##### 
50. for most of its footage , the new thriller proves that director m. night shyamalan can weave an eerie spell and that mel gibson can gasp , shudder and even tremble without losing his machismo .  [ID: 3620]
 ##### 
51. sensuous and spirited  [ID: 41323]
 ##### 
52. both exuberantly romantic and serenely melancholy , what time is it there ?  [ID: 55778]
 ##### 
53. in this junk that 's tv sitcom material at best  [ID: 27369]
 ##### 
54. weightless that a decent draft in the auditorium might blow it off the screen  [ID: 2978]
 ##### 
55. he 's a better actor than a standup comedian .  [ID: 23145]
 ##### 
56. knows everything and answers all questions  [ID: 47901]
 ##### 
57. uses the huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them .  [ID: 41499]
 ##### 
58. shorter than the first ( as best i remember ) , but still a very good time at the cinema  [ID: 46877]
 ##### 
59. boasts eye-catching art direction but has a forcefully quirky tone that quickly wears out its limited welcome .  [ID: 33746]
 ##### 
60. adaptation 's success  [ID: 31802]
 ##### 
61. a sharp and quick documentary  [ID: 16537]
 ##### 
62. fierce grandeur  [ID: 55703]
 ##### 
63. deeply pessimistic  [ID: 22186]
 ##### 
64. the worst film a man has made about women since valley of the dolls  [ID: 394]
 ##### 
65. more than another `` best man '' clone by weaving a theme throughout this funny film  [ID: 35]
 ##### 
66. insignificant  [ID: 26598]
 ##### 
67. , tortured  [ID: 38248]
 ##### 
68. us all  [ID: 65903]
 ##### 
69. cheesy dialogue  [ID: 19115]
 ##### 
70. would be very sweet indeed  [ID: 35198]
 ##### 
71. as its own most damning censure  [ID: 47455]
 ##### 
72. disposable , kitchen-sink homage  [ID: 54972]
 ##### 
73. relegated to a dark video store corner  [ID: 61807]
 ##### 
74. loved the people onscreen , even though i could not stand them  [ID: 14872]
 ##### 
75. this odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in morton 's ever-watchful gaze -- and it 's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one .  [ID: 38498]
 ##### 
76. of my greatest pictures , drunken master  [ID: 19914]
 ##### 
77. with all its flaws , is that it has none of the pushiness and decibel volume of most contemporary comedies .  [ID: 15542]
 ##### 
78. the soul of a man in pain who gradually comes to recognize it and deal with it  [ID: 39572]
 ##### 
79. , letting its imagery speak for it while it forces you to ponder anew what a movie can be .  [ID: 16157]
 ##### 
80. 's absolutely amazing  [ID: 6716]
 ##### 
81. shoot themselves in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain  [ID: 33915]
 ##### 
82. surprisingly  [ID: 34138]
 ##### 
83. the leads we are given here are simply too bland to be interesting .  [ID: 46246]
 ##### 
84. is misbegotten  [ID: 16835]
 ##### 
85. desperate for attention it nearly breaks its little neck trying to perform entertaining tricks  [ID: 58610]
 ##### 
86. functions as both a revealing look at the collaborative process and a timely , tongue-in-cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downsizing .  [ID: 24214]
 ##### 
87. satisfied  [ID: 42174]
 ##### 
88. to shock and amaze  [ID: 9415]
 ##### 
89. any scorsese  [ID: 7101]
 ##### 
90. contains no wit , only labored gags .  [ID: 22537]
 ##### 
91. is n't necessarily an admirable storyteller .  [ID: 11229]
 ##### 
92. in good measure  [ID: 24107]
 ##### 
93. potentially incredibly  [ID: 54768]
 ##### 
94. a sleep-inducingly slow-paced crime drama  [ID: 27416]
 ##### 
95. feel the screenwriter at every moment ` tap  [ID: 36236]
 ##### 
96. breathes life into a roll that could have otherwise been bland and run of the mill .  [ID: 31292]
 ##### 
97. gentlemen  [ID: 13528]
 ##### 
98. for dance completists only .  [ID: 62618]
 ##### 
99. is half as moving as the filmmakers seem to think .  [ID: 50369]
 ##### 
100. there is nothing in it to engage children emotionally  [ID: 63652]
 ##### 
101. has some unnecessary parts  [ID: 45654]
 ##### 
102. loses all bite on the big screen .  [ID: 54916]
 ##### 
103. ultimately hollow mockumentary  [ID: 48594]
 ##### 
104. a great companion piece to other napoleon films .  [ID: 34406]
 ##### 
105. be utterly entranced by its subject and  [ID: 18387]
 ##### 
106. has a pleasing way with a metaphor .  [ID: 63754]
 ##### 
107. a solid action pic  [ID: 30781]
 ##### 
108. are tantamount to insulting the intelligence of anyone who has n't been living under a rock ( since sept. 11 )  [ID: 59662]
 ##### 
109. is particularly impressive  [ID: 66176]
 ##### 
110. is a fascinating film because there is no clear-cut hero and no all-out villain .  [ID: 22724]
 ##### 
111. like life on the island  [ID: 28988]
 ##### 
112. entertainment that parents love to have their kids  [ID: 62375]
 ##### 
113. a breakthrough  [ID: 20152]
 ##### 
114. the humor aspects of ` jason x ' were far more entertaining than i had expected  [ID: 18877]
 ##### 
115. the four feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic sandbox .  [ID: 38042]
 ##### 
116. vibrantly  [ID: 56560]
 ##### 
117. it were that grand a failure  [ID: 38661]
 ##### 
118. that do n't really care for the candidate  [ID: 31162]
 ##### 
119. no entertainment value  [ID: 14485]
 ##### 
120. i have a new favorite musical --  [ID: 4510]
 ##### 
121. have viewers guessing just who 's being conned right up to the finale  [ID: 54312]
 ##### 
122. traffics in tired stereotypes  [ID: 28589]
 ##### 
123. a curious sick poetry ,  [ID: 49954]
 ##### 
124. empathy and pity fogging up the screen ... his secret life enters the land of unintentional melodrama and tiresome love triangles .  [ID: 9558]
 ##### 
125. a hilarious ode to middle america  [ID: 60513]
 ##### 
126. loses its ability to shock and amaze .  [ID: 11971]
 ##### 
127. the reason to go see `` blue crush '' is the phenomenal , water-born cinematography by david hennings .  [ID: 47370]
 ##### 
128. terribly obvious melodrama and rough-hewn vanity project  [ID: 32785]
 ##### 
129. director jay russell stomps in hobnail boots over natalie babbitt 's gentle , endearing 1975 children 's novel .  [ID: 63311]
 ##### 
130. great cinema can really do  [ID: 34137]
 ##### 
131. a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !  [ID: 22787]
 ##### 
132. dark pit  [ID: 32199]
 ##### 
133. sustain a reasonable degree of suspense  [ID: 53981]
 ##### 
