Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 60 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
0. the abiding impression  [ID: 52942]
 ##### 
1. do n't care about being stupid  [ID: 20516]
 ##### 
2. incredible  [ID: 50442]
 ##### 
3. -- worst of all --  [ID: 40317]
 ##### 
4. its utter sincerity  [ID: 14759]
 ##### 
5. smartly written motion picture  [ID: 34636]
 ##### 
6. recommend snow dogs  [ID: 30465]
 ##### 
7. does a convincing impersonation here of a director enjoying himself immensely  [ID: 65939]
 ##### 
8. such a good job of it  [ID: 31447]
 ##### 
9. creepy turn  [ID: 59787]
 ##### 
10. the rage and alienation that fuels the self-destructiveness of many young people  [ID: 36990]
 ##### 
11. begins with the everyday lives of naval personnel in san diego and ends with scenes so true and heartbreaking that tears welled up in my eyes both times i  [ID: 2427]
 ##### 
12. so-called ` comedy '  [ID: 63924]
 ##### 
13. a wonderful thing  [ID: 10686]
 ##### 
14. in genre cliches  [ID: 9959]
 ##### 
15. ( and literally ) tosses around sex toys and offers half-hearted paeans to empowerment that are repeatedly undercut by the brutality of the jokes , most at women 's expense .  [ID: 20467]
 ##### 
16. wit to keep parents away from the concession stand  [ID: 53656]
 ##### 
17. was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles  [ID: 48330]
 ##### 
18. better movie experience  [ID: 26936]
 ##### 
19. infuses hubert with a mixture of deadpan cool , wry humor and just the measure of tenderness required to give this comic slugfest some heart .  [ID: 61859]
 ##### 
20. best movie work  [ID: 39070]
 ##### 
21. everett remains a perfect wildean actor  [ID: 31248]
 ##### 
22. to vary the pitch of his movie , balancing deafening battle scenes with quieter domestic scenes of women back home receiving war department telegrams  [ID: 58356]
 ##### 
23. 's so fascinating you wo n't be able to look away for a second .  [ID: 59967]
 ##### 
24. throws in enough clever and unexpected twists to make the formula feel fresh .  [ID: 32671]
 ##### 
25. with regret and , ultimately , finding redemption  [ID: 36371]
 ##### 
26. a thriller with an edge -- which is to say that it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world .  [ID: 30833]
 ##### 
27. so much fun  [ID: 65896]
 ##### 
28. allows it to rank with its worthy predecessors  [ID: 66713]
 ##### 
29. be a bit repetitive  [ID: 58535]
 ##### 
30. a remarkably cohesive whole  [ID: 39398]
 ##### 
31. if ever such a dependable concept was botched in execution  [ID: 757]
 ##### 
32. of martha stewart decorating program run amok  [ID: 37021]
 ##### 
33. sentimental chick-flicks  [ID: 15386]
 ##### 
34. pale xerox of other , better crime movies .  [ID: 54570]
 ##### 
35. puts an exclamation point on the fact  [ID: 52346]
 ##### 
36. like being able to hit on a 15-year old when you 're over 100  [ID: 16409]
 ##### 
37. knew what the hell was coming next  [ID: 6694]
 ##### 
38. is a goofball movie , in the way that malkovich was  [ID: 56422]
 ##### 
39. however sincere it may be , the rising place never quite justifies its own existence .  [ID: 2626]
 ##### 
40. you love reading and/or poetry  [ID: 40206]
 ##### 
41. of family tradition and familial community  [ID: 18271]
 ##### 
42. it 's neither as sappy as big daddy nor as anarchic as happy gilmore or the waterboy , but it has its moments .  [ID: 40656]
 ##### 
43. ugly and mindless  [ID: 6903]
 ##### 
44. felt like to be a new yorker -- or , really , to be a human being -- in the weeks after 9/11  [ID: 34654]
 ##### 
45. a played-out idea  [ID: 2751]
 ##### 
46. a bunch of talented thesps slumming it  [ID: 42055]
 ##### 
47. a higher plateau  [ID: 9204]
 ##### 
48. forages for audience sympathy like a temperamental child begging for attention , giving audiences no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining .  [ID: 4460]
 ##### 
49. if you 're in the right b-movie frame of mind , it may just scare the pants off you .  [ID: 37449]
 ##### 
50. challenges  [ID: 5953]
 ##### 
51. dickens ' wonderfully sprawling soap opera  [ID: 19399]
 ##### 
52. a caffeinated , sloppy brilliance ,  [ID: 6529]
 ##### 
53. spiritual survival  [ID: 62939]
 ##### 
54. will assuredly  [ID: 43621]
 ##### 
55. the film never feels draggy  [ID: 2836]
 ##### 
56. all the way to the credits  [ID: 60559]
 ##### 
57. add anything fresh  [ID: 9933]
 ##### 
58. with tension  [ID: 57480]
 ##### 
59. remind us of how very bad a motion picture can truly be  [ID: 43945]
 ##### 
60. demented in a good way  [ID: 64096]
 ##### 
61. a ` girls gone wild ' video for the boho art-house crowd , the burning sensation is n't a definitive counter-cultural document -- its makers are n't removed and inquisitive enough for that .  [ID: 59194]
 ##### 
62. 's not a fresh idea at the core of this tale .  [ID: 14069]
 ##### 
63. disturbingly  [ID: 52774]
 ##### 
64. while somewhat less than it might have been , the film is a good one , and you 've got to hand it to director george clooney for biting off such a big job the first time out .  [ID: 59879]
 ##### 
65. not being able to enjoy a mindless action movie  [ID: 24921]
 ##### 
66. a sweet , even delectable diversion  [ID: 54761]
 ##### 
67. suffering  [ID: 40750]
 ##### 
68. enlightened by any of derrida 's  [ID: 28118]
 ##### 
69. inevitable and  [ID: 60434]
 ##### 
70. pouty-lipped poof  [ID: 7678]
 ##### 
71. would have a good time here .  [ID: 21566]
 ##### 
72. another entertaining  [ID: 62018]
 ##### 
73. yet i found it weirdly appealing  [ID: 16310]
 ##### 
74. watch a movie in which a guy dressed as a children 's party clown gets violently gang-raped  [ID: 5889]
 ##### 
75. disastrous  [ID: 32846]
 ##### 
76. highly professional film that 's old-fashioned in all the best possible ways  [ID: 38106]
 ##### 
77. because of its epic scope  [ID: 63177]
 ##### 
78. sewer rats could watch this movie and be so skeeved out that they 'd need a shower .  [ID: 24443]
 ##### 
79. for those for whom the name woody allen was once a guarantee of something fresh , sometimes funny , and usually genuinely worthwhile , hollywood ending is a depressing experience  [ID: 33235]
 ##### 
80. striking a blow for artistic integrity  [ID: 33108]
 ##### 
81. there 's a casual intelligence that permeates the script  [ID: 24370]
 ##### 
82. rough-hewn vanity project  [ID: 31775]
 ##### 
83. a child 's pain  [ID: 16250]
 ##### 
84. prevents them from firing on all cylinders  [ID: 42979]
 ##### 
85. i 'm not a fan of the phrase ` life affirming ' because it usually means ` schmaltzy , '  [ID: 32317]
 ##### 
86. surprising highs  [ID: 36565]
 ##### 
87. , at least he provides a strong itch to explore more .  [ID: 15666]
 ##### 
88. on its way  [ID: 27003]
 ##### 
89. an intelligent , multi-layered and profoundly humanist ( not to mention gently political ) meditation on the values of knowledge , education , and the affects of cultural and geographical displacement .  [ID: 16034]
 ##### 
90. a sly female empowerment movie , although not in a way anyone would expect .  [ID: 38822]
 ##### 
91. driven by a fantastic dual performance from ian holm ...  [ID: 64652]
 ##### 
92. is plenty of room for editing  [ID: 49651]
 ##### 
93. i liked the movie ,  [ID: 5148]
 ##### 
94. the best sequel since the empire strikes back ... a majestic achievement , an epic of astonishing grandeur and surprising emotional depth  [ID: 42069]
 ##### 
95. better than the fiction  [ID: 48564]
 ##### 
96. like the excruciating end of days , collateral damage presents schwarzenegger as a tragic figure , but sympathy really belongs with any viewer forced to watch him try out so many complicated facial expressions .  [ID: 21565]
 ##### 
97. do you make a movie with depth about a man who lacked any  [ID: 40179]
 ##### 
98. a heartening tale  [ID: 40931]
 ##### 
99. she 's as rude and profane as ever , always hilarious and , most of the time , absolutely right in her stinging social observations .  [ID: 12330]
 ##### 
100. 's fun , splashy and entertainingly nasty .  [ID: 52602]
 ##### 
101. passionate  [ID: 51886]
 ##### 
102. becomes predictably conventional .  [ID: 47723]
 ##### 
103. lousy direction  [ID: 17175]
 ##### 
104. the fine line between cheese  [ID: 50124]
 ##### 
105. alive and  [ID: 61600]
 ##### 
106. i 've yet to find an actual vietnam war combat movie actually produced by either the north or south vietnamese  [ID: 23616]
 ##### 
107. a sloppy , amusing comedy that proceeds from a stunningly unoriginal premise .  [ID: 42955]
 ##### 
108. , in the simple telling , proves simultaneously harrowing and uplifting  [ID: 14208]
 ##### 
109. totally overwrought , deeply biased , and wholly designed to make you feel guilty about ignoring what the filmmakers clearly believe are the greatest musicians of all time .  [ID: 11823]
 ##### 
110. where story is almost an afterthought  [ID: 58330]
 ##### 
111. a heartfelt conviction  [ID: 58764]
 ##### 
112. jacobi , the most fluent of actors ,  [ID: 60575]
 ##### 
113. still like moonlight mile , better judgment be damned .  [ID: 54502]
 ##### 
114. poise  [ID: 5786]
 ##### 
115. the movie eventually snaps under the strain of its plot contrivances and its need to reassure .  [ID: 32161]
 ##### 
116. offers the flash of rock videos fused with solid performances and eerie atmosphere .  [ID: 29055]
 ##### 
117. midway point  [ID: 34239]
 ##### 
118. about as humorous  [ID: 33283]
 ##### 
119. out-of-kilter character  [ID: 15333]
 ##### 
120. this film , like the similarly ill-timed antitrust , is easily as bad at a fraction the budget  [ID: 58905]
 ##### 
121. the product of loving , well integrated homage  [ID: 24317]
 ##### 
122. a remarkably accessible and haunting film  [ID: 8920]
 ##### 
123. almost completely dry of humor , verve and fun  [ID: 57815]
 ##### 
124. in this woefully hackneyed movie , directed by scott kalvert , about street gangs and turf wars in 1958 brooklyn -- stale cliches , gratuitous violence , or empty machismo  [ID: 27161]
 ##### 
125. no foundation  [ID: 2719]
 ##### 
126. lots of effort and intelligence are on display but  [ID: 34052]
 ##### 
127. sweetheart  [ID: 1065]
 ##### 
128. the cultural distinctions  [ID: 23208]
 ##### 
129. as if the movie is more interested in entertaining itself than in amusing us  [ID: 45603]
 ##### 
130. so unsympathetic  [ID: 24793]
 ##### 
131. you 'd swear you  [ID: 50689]
 ##### 
132. overlong and not well-acted  [ID: 30583]
 ##### 
133. is life affirming and heartbreaking , sweet without the decay factor , funny and sad .  [ID: 25638]
 ##### 
134. director lee has a true cinematic knack  [ID: 8851]
 ##### 
135. of the discomfort and embarrassment of being a bumbling american in europe  [ID: 12227]
 ##### 
136. it is supremely unfunny and unentertaining to watch middle-age and older men drink to excess , piss on trees , b.s. one another and put on a show in drag  [ID: 16421]
 ##### 
137. very believable  [ID: 57073]
 ##### 
138. about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings  [ID: 20057]
 ##### 
139. transcends the boy-meets-girl posturing of typical love stories .  [ID: 63781]
 ##### 
140. godard 's ode to tackling life 's wonderment  [ID: 22755]
 ##### 
141. deeply satisfying  [ID: 11215]
 ##### 
142. is painterly  [ID: 63638]
 ##### 
143. laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh  [ID: 20602]
 ##### 
144. nearly as fresh or enjoyable as its predecessor  [ID: 32419]
 ##### 
145. simply stupid , irrelevant and deeply  [ID: 3495]
 ##### 
146. its gentle , touching story  [ID: 47028]
 ##### 
147. the real antwone fisher was able to overcome his personal obstacles and become a good man  [ID: 25271]
 ##### 
148. it 's packed with adventure and a worthwhile environmental message  [ID: 34035]
 ##### 
149. `` looking for leonard '' just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something .  [ID: 38935]
 ##### 
150. it might have been  [ID: 54350]
 ##### 
151. been perfect for an old `` twilight zone '' episode  [ID: 48154]
 ##### 
152. grumble  [ID: 14482]
 ##### 
153. if this sappy script was the best the contest received , those rejected must have been astronomically bad  [ID: 30055]
 ##### 
154. a timely look back at civil disobedience , anti-war movements and the power of strong voices .  [ID: 64008]
 ##### 
155. that 's as entertaining as it is instructive  [ID: 42679]
 ##### 
156. pretention  [ID: 59643]
 ##### 
157. worldly knowledge  [ID: 20667]
 ##### 
158. to believe these jokers are supposed to have pulled off four similar kidnappings before  [ID: 21915]
 ##### 
159. if the movie is more interested in entertaining itself than in amusing us  [ID: 14378]
 ##### 
160. great over-the-top moviemaking if you 're in a slap-happy mood  [ID: 12872]
 ##### 
161. the kiss of death in this bitter italian comedy  [ID: 9791]
 ##### 
162. shows how deeply felt emotions can draw people together across the walls that might otherwise separate them  [ID: 64425]
 ##### 
163. makes for unexpectedly giddy viewing  [ID: 57632]
 ##### 
164. sparkling , often hilarious romantic jealousy comedy ... attal looks so much like a young robert deniro that it seems the film should instead be called ` my husband is travis bickle ' .  [ID: 27502]
 ##### 
165. highly spirited  [ID: 36322]
 ##### 
166. the irwins ' scenes are fascinating ;  [ID: 59844]
 ##### 
167. is a powerful , naturally dramatic piece of low-budget filmmaking  [ID: 48945]
 ##### 
168. wo n't have any trouble getting kids to eat up these veggies .  [ID: 43565]
 ##### 
169. which awards animals the respect they  [ID: 42931]
 ##### 
170. an absolute joy  [ID: 31006]
 ##### 
171. is like reading a research paper , with special effects tossed in  [ID: 30845]
 ##### 
172. destined to be the 21st century 's new `` conan '' and that he 's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal  [ID: 62368]
 ##### 
173. sit through -- despite some first-rate performances by its lead  [ID: 57270]
 ##### 
174. , you should avoid this like the dreaded king brown snake .  [ID: 50983]
 ##### 
175. if divine secrets of the ya-ya sisterhood suffers from a ploddingly melodramatic structure , it comes to life in the performances .  [ID: 30654]
 ##### 
176. recognizable  [ID: 37865]
 ##### 
177. terrible , banal dialogue ; convenient , hole-ridden plotting ; superficial characters  [ID: 40839]
 ##### 
178. jolt you out of your seat a couple of times , give you a few laughs ,  [ID: 43689]
 ##### 
179. a nice coffee table book  [ID: 9800]
 ##### 
180. is a stunning film , a one-of-a-kind tour de force  [ID: 56807]
 ##### 
181. once ice-t sticks his mug in the window of the couple 's bmw and begins haranguing the wife in bad stage dialogue , all credibility flies out the window .  [ID: 20718]
 ##### 
182. a caper that 's neither original nor terribly funny  [ID: 57348]
 ##### 
183. smart and fun , but far more witty  [ID: 53835]
 ##### 
184. who deserve but rarely receive it  [ID: 22489]
 ##### 
185. pinnacle  [ID: 29911]
 ##### 
186. mr. deeds '' is suitable summer entertainment that offers escapism without requiring a great deal of thought .  [ID: 13102]
 ##### 
187. sure , it 's contrived and predictable  [ID: 3773]
 ##### 
188. lived in a state of quiet desperation  [ID: 24669]
 ##### 
189. we ca n't accuse kung pow for misfiring , since it is exactly what it wants to be : an atrociously , mind-numbingly , indescribably bad movie .  [ID: 62434]
