text,label,idx,index
I saw the one of physics.,0,7390,7390
This girl in the red coat but no boys will put a picture of Bill on your desk before tomorrow.,1,7159,7159
Bill dried at the clothes.,0,3265,3265
Lee's youngest and Dawn's oldest son ran away.,1,8133,8133
Bill left when that no one else was awake is certain.,0,1638,1638
Frank bought something for Jane.,1,6684,6684
He has not eaten yet today.,1,6086,6086
It is likely that John has loved Mary.,1,810,810
Agamemnon stopped Jason casting the spell,1,7744,7744
"While José won't talk about Mag, he might about Holly.",1,929,929
I like Mary and she does too.,0,7578,7578
Mary expected John to fix the computer.,1,4260,4260
I hope that Mary wins.,1,7262,7262
Who is it that Mary likes?,1,6545,6545
Headway was unmade.,0,464,464
"He never achieved anything, didn't he?",0,4590,4590
That the principal would fire some teacher was expected by the reporters.,1,1427,1427
I hit the ball.,1,5670,5670
"How much harder has it rained, when you see a faster flow in the river?",1,129,129
The boat was sunk by the captain with a torpedo.,1,6148,6148
A magnificent diamond sparkled on his finger.,1,3201,3201
They ignored the suggestion that Lee lied.,1,4991,4991
"The more contented for us to pretend to be became possible, the more angry we grew at the doctors.",0,1756,1756
Who did you give pictures of to friends of?,1,291,291
"Tonight, what Bob cooked yesterday still tastes good, so tonight, what Bob cooked yesterday will be eaten up.",1,1995,1995
Bill floated into the cave for hours.,0,65,65
Miriam tutored her brother.,1,2976,2976
Have you always hated peanut butter?,1,6093,6093
Did you notice which difficulties she made.,1,1395,1395
They paid a lot of attention to the matter.,1,4715,4715
Who do you think it is that Mary met?,1,5148,5148
John inquired which book he should read.,1,4794,4794
The lions ate at the meat raw.,0,768,768
Wickham eloped with Lydia.,1,6710,6710
Fanny loved talking to Mary.,1,6796,6796
"He'll no can do it, can he?",1,8107,8107
Dana doubts that Drew believes I think Rosie loves magazine ads.,1,5597,5597
I showed few boys any of the books.,1,1006,1006
Oil gushed from the well.,1,3220,3220
Calculus is difficult for me to concentrate on.,1,5152,5152
Mary has more than Bill has friends enemies.,0,5565,5565
It was to the student that the teacher gave the best advice.,1,5079,5079
He's the happiest that I believe that he's ever been.,1,1707,1707
"He had hardly collected the papers on his desk, hadn't he?",0,4588,4588
I'm sorry that he ever said anything.,1,5222,5222
Where did he look?,1,3627,3627
Which attorney will give the closing argument hasn't been decided.,1,4670,4670
Jack eats more caviar than he eats mush.,1,5337,5337
They wonder whether Mary will run.,1,7308,7308
The Gorgon is easy to believe the claim that Perseus slew.,0,8130,8130
Alison pierced the cloth with a needle.,1,2338,2338
"Handsome though I know several boys who are, I'm still going to marry Herman.",0,1748,1748
"If three relatives of mine die, I will inherit a house.",1,1037,1037
