Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 32 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
0. robust  [ID: 60608]
 ##### 
1. cold , nervy and memorable  [ID: 1475]
 ##### 
2. pushes all the demographically appropriate comic buttons .  [ID: 49772]
 ##### 
3. relevant today  [ID: 66816]
 ##### 
4. also treats the subject with fondness and respect  [ID: 41248]
 ##### 
5. until the film is well under way -- and yet it 's hard to stop watching  [ID: 64272]
 ##### 
6. his brawny frame and cool , composed delivery  [ID: 15160]
 ##### 
7. rude and crude humor  [ID: 31635]
 ##### 
8. too slow for a younger crowd  [ID: 52664]
 ##### 
9. riveting memories are rendered with such clarity that it 's as if it all happened only yesterday  [ID: 44540]
 ##### 
10. is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for itself  [ID: 44894]
 ##### 
11. beautiful to watch and  [ID: 714]
 ##### 
12. overbearing and over-the-top as the family  [ID: 33401]
 ##### 
13. there 's no art here  [ID: 50324]
 ##### 
14. dozens of bad guys  [ID: 61894]
 ##### 
15. on a cutting room floor somewhere lies ... footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire .  [ID: 9974]
 ##### 
16. are mesmerizing  [ID: 56006]
 ##### 
17. is nothing short of a travesty of a transvestite comedy .  [ID: 10401]
 ##### 
18. two not very absorbing characters are engaged in a romance  [ID: 7740]
 ##### 
19. , compelling  [ID: 170]
 ##### 
20. the next a turgid drama  [ID: 22375]
 ##### 
21. dead bodies  [ID: 16340]
 ##### 
22. star/producer salma hayek and director julie taymor have infused frida with a visual style unique and inherent to the titular character 's paintings and in the process created a masterful work of art of their own .  [ID: 58661]
 ##### 
23. only the most practiced curmudgeon could fail to crack a smile at  [ID: 43448]
 ##### 
24. writings to perform  [ID: 54645]
 ##### 
25. undeniably moving  [ID: 23050]
 ##### 
26. grand picture  [ID: 46716]
 ##### 
27. finds a nice rhythm .  [ID: 15922]
 ##### 
28. embraced  [ID: 51978]
 ##### 
29. no wit  [ID: 44677]
 ##### 
30. it 's the work of an artist , one whose view of america , history and the awkwardness of human life is generous and deep  [ID: 28725]
 ##### 
31. are simultaneously buried , drowned and smothered in the excesses of writer-director roger avary  [ID: 10384]
 ##### 
32. is clearly a good thing .  [ID: 64397]
 ##### 
33. the screenplay flounders under the weight of too many story lines .  [ID: 36245]
 ##### 
34. the intrigue of academic skullduggery and politics  [ID: 13695]
 ##### 
35. heavy-handed  [ID: 65783]
 ##### 
36. could n't find stardom if mapquest emailed him point-to-point driving directions  [ID: 66046]
 ##### 
37. abandoned , but  [ID: 33381]
 ##### 
38. delicious and delicately funny look  [ID: 49983]
 ##### 
39. clever exercise  [ID: 39470]
 ##### 
40. is so anemic  [ID: 58986]
 ##### 
41. exit sign  [ID: 63852]
 ##### 
42. both grant and hoult carry the movie because they are believable as people -- flawed , assured of the wrong things , and scared to admit how much they may really need the company of others .  [ID: 8209]
 ##### 
43. its unbelievable naïveté and arbitrary flashbacks  [ID: 35571]
 ##### 
44. victim  [ID: 45237]
 ##### 
45. because panic room is interested in nothing more than sucking you in ... and making you sweat  [ID: 2033]
 ##### 
46. too violent and sordid to function as comedy  [ID: 65685]
 ##### 
47. 's , it 's simply unbearable  [ID: 56757]
 ##### 
48. favorably  [ID: 59710]
 ##### 
49. warm and well-told tale  [ID: 6997]
 ##### 
50. becomes compulsively watchable  [ID: 4940]
 ##### 
51. sand 's masculine persona , with its love of life and beauty  [ID: 15839]
 ##### 
52. did no one on the set have a sense of humor , or did they not have the nerve to speak up ?  [ID: 32243]
 ##### 
53. occasionally fun  [ID: 38370]
 ##### 
54. pleaser  [ID: 17392]
 ##### 
55. to include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren , who did )  [ID: 13939]
 ##### 
56. -- elegant technology for the masses --  [ID: 18896]
 ##### 
57. sheer beauty  [ID: 13448]
 ##### 
58. indie of the year  [ID: 17547]
 ##### 
59. where nothing really happens  [ID: 60696]
 ##### 
60. hopes to camouflage how bad his movie is  [ID: 28914]
 ##### 
61. how so many talented people were convinced to waste their time  [ID: 28325]
 ##### 
62. 'm convinced i could keep a family of five blind , crippled , amish people alive in this situation better than these british soldiers do at keeping themselves kicking  [ID: 42596]
 ##### 
63. 's not a great monster movie  [ID: 62970]
 ##### 
64. 're more likely to enjoy on a computer  [ID: 50340]
 ##### 
65. an imaginative filmmaker  [ID: 36197]
 ##### 
66. profanities  [ID: 14291]
 ##### 
67. for an intelligent movie in which you can release your pent up anger  [ID: 40642]
 ##### 
68. sadly  [ID: 42537]
 ##### 
69. of its assigned marks to take on any life of its own  [ID: 58499]
 ##### 
70. a mere plot pawn  [ID: 61621]
 ##### 
71. because the film deliberately lacks irony  [ID: 21768]
 ##### 
72. is n't worth telling  [ID: 26204]
 ##### 
73. hanna-barbera charm  [ID: 9738]
 ##### 
74. could have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation .  [ID: 43184]
 ##### 
75. glaring  [ID: 41198]
 ##### 
76. iles  [ID: 46863]
 ##### 
77. the good-time shenanigans  [ID: 42131]
 ##### 
78. what enlivens this film  [ID: 21059]
 ##### 
79. crystallize key plot moments  [ID: 38098]
 ##### 
80. one of the outstanding thrillers of recent years  [ID: 24752]
 ##### 
81. mainly unfunny  [ID: 49764]
 ##### 
82. the cast is spot on and  [ID: 303]
 ##### 
83. in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense  [ID: 64052]
 ##### 
84. at a speed that is slow to those of us in middle age  [ID: 56278]
 ##### 
85. ineffable , elusive , yet inexplicably powerful  [ID: 13388]
 ##### 
86. tasteful to look at  [ID: 41854]
 ##### 
87. , it 's often overwritten , with a surfeit of weighty revelations , flowery dialogue , and nostalgia for the past and roads not taken .  [ID: 63103]
 ##### 
88. it 's very beavis and butthead , yet always seems to elicit a chuckle .  [ID: 29923]
 ##### 
89. a british cast  [ID: 63525]
 ##### 
90. it was only a matter of time before some savvy producer saw the potential success inherent in the mixture of bullock bubble and hugh goo .  [ID: 4738]
 ##### 
91. what bubbles up out of john c. walsh 's pipe dream is the distinct and very welcome sense of watching intelligent people making a movie they might actually want to watch .  [ID: 65611]
 ##### 
92. is like having two guys yelling in your face for two hours .  [ID: 44134]
 ##### 
93. compared to the movie 's contrived , lame screenplay and listless direction  [ID: 27706]
 ##### 
94. fall dreadfully short .  [ID: 33452]
 ##### 
95. diverges from anything  [ID: 11589]
 ##### 
96. 's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate gantz brothers as ordinary , pasty lumpen  [ID: 1529]
 ##### 
97. hong kong action cinema is still alive and kicking  [ID: 17885]
 ##### 
98. is a movie so insecure about its capacity  [ID: 39446]
 ##### 
99. does everything  [ID: 43222]
 ##### 
100. is , its filmmakers run out of clever ideas and visual gags about halfway through .  [ID: 17906]
 ##### 
101. whose sharp  [ID: 58230]
 ##### 
102. does n't figure in the present hollywood program  [ID: 49957]
 ##### 
103. ends up offering nothing more than the latest schwarzenegger or stallone flick would .  [ID: 2679]
 ##### 
104. tonally uneven  [ID: 37199]
 ##### 
105. surprising , subtle turn  [ID: 47504]
 ##### 
106. joyous communal festival  [ID: 49262]
 ##### 
107. we did n't get more re-creations of all those famous moments from the show  [ID: 54310]
 ##### 
108. was at least funny  [ID: 35947]
 ##### 
109. stress-reducing  [ID: 29110]
 ##### 
110. that are as valid today  [ID: 35230]
 ##### 
111. so stupid  [ID: 2991]
 ##### 
112. likely to leave a lasting impression  [ID: 66524]
 ##### 
113. willingness to explore its principal characters with honesty , insight and humor  [ID: 26074]
 ##### 
114. otherwise talented  [ID: 18375]
 ##### 
115. to the divine calling of education and a demonstration of the painstaking  [ID: 10596]
 ##### 
116. much forced drama in this wildly uneven movie , about a young man 's battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present  [ID: 5171]
 ##### 
117. this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy .  [ID: 19657]
 ##### 
118. the most consistently funny of the austin powers films  [ID: 35019]
 ##### 
119. the things that made the original men in black such a pleasure  [ID: 53080]
 ##### 
120. carried by a strong sense of humanism  [ID: 54632]
 ##### 
121. that most frightening of all movies --  [ID: 39291]
 ##### 
122. been benefited from a sharper , cleaner script before it went in front of the camera  [ID: 58058]
 ##### 
123. seen it all before ,  [ID: 6685]
 ##### 
124. mostly , shafer and co-writer gregory hinton lack a strong-minded viewpoint , or a sense of humor .  [ID: 22952]
 ##### 
125. wisdom  [ID: 67209]
 ##### 
