Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 80 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
0. obsessive  [ID: 60655]
 ##### 
1. men in black ii achieves ultimate insignificance  [ID: 36769]
 ##### 
2. an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans  [ID: 62661]
 ##### 
3. macaroni and cheese  [ID: 58831]
 ##### 
4. morrissette has performed a difficult task indeed - he 's taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating .  [ID: 50300]
 ##### 
5. without a fresh infusion of creativity , 4ever is neither a promise nor a threat so much as wishful thinking .  [ID: 40338]
 ##### 
6. a relic from a bygone era , and its convolutions ... feel silly rather than plausible  [ID: 34976]
 ##### 
7. as a landmark in film history  [ID: 42075]
 ##### 
8. schmaltzy and clumsily  [ID: 17604]
 ##### 
9. obscure this movie 's lack of ideas  [ID: 29785]
 ##### 
10. an awful lot like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it .  [ID: 56572]
 ##### 
11. many insightful moments .  [ID: 26669]
 ##### 
12. is born out of an engaging storyline , which also is n't embarrassed to make you reach for the tissues  [ID: 26665]
 ##### 
13. babies are the kiss of death in this bitter italian comedy  [ID: 40342]
 ##### 
14. there 's a part of us that can not help be entertained by the sight of someone getting away with something .  [ID: 39670]
 ##### 
15. , still manages at least a decent attempt at meaningful cinema  [ID: 2485]
 ##### 
16. an amateurish screenplay  [ID: 46833]
 ##### 
17. creative act  [ID: 66077]
 ##### 
18. live-wire  [ID: 41394]
 ##### 
19. this schlocky horror/action hybrid  [ID: 44769]
 ##### 
20. weird , wonderful , and not necessarily for kids  [ID: 32898]
 ##### 
21. demonstrates that werner herzog can still leave us with a sense of wonder at the diverse , marvelously twisted shapes history has taken  [ID: 58853]
 ##### 
22. the most creative , energetic and original comedies to hit the screen in years  [ID: 49859]
 ##### 
23. low-budget and tired  [ID: 63803]
 ##### 
24. the year 's greatest adventure ,  [ID: 52227]
 ##### 
25. of these tragic deaths  [ID: 3464]
 ##### 
26. a hundred of them can be numbing  [ID: 34379]
 ##### 
27. has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced  [ID: 21453]
 ##### 
28. is a remarkably original work .  [ID: 60185]
 ##### 
29. constantly touching  [ID: 48960]
 ##### 
30. berry 's saucy , full-bodied performance  [ID: 58790]
 ##### 
31. i 'm giving it thumbs down due to the endlessly repetitive scenes of embarrassment .  [ID: 61453]
 ##### 
32. the worthy successor to a better tomorrow and the killer which they have been patiently waiting for  [ID: 25232]
 ##### 
33. here lacks considerable brio .  [ID: 11472]
 ##### 
34. a strong narrative  [ID: 35873]
 ##### 
35. create the kind of art shots that fill gallery shows  [ID: 50913]
 ##### 
36. utterly ridiculous  [ID: 53774]
 ##### 
37. too bland and  [ID: 51783]
 ##### 
38. does mark ms. bullock 's best work in some time  [ID: 39859]
 ##### 
39. solid action pic  [ID: 28411]
 ##### 
40. the cute frissons of discovery and humor between chaplin and kidman  [ID: 32643]
 ##### 
41. capable  [ID: 43715]
 ##### 
42. is a welcome lack of pretension about the film , which very simply sets out to entertain and ends up delivering in good measure  [ID: 3672]
 ##### 
43. is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors  [ID: 32480]
 ##### 
44. a touching , sophisticated film  [ID: 62155]
 ##### 
45. that the jury who bestowed star hoffman 's brother gordy with the waldo salt screenwriting award at 2002 's sundance festival were honoring an attempt to do something different over actually pulling it off  [ID: 30537]
 ##### 
46. on the glamorous machine that thrusts the audience into a future they wo n't much care about  [ID: 15798]
 ##### 
