text,label,label_text,index
The product is listed as kids size yet it should be listed as infant size.,0,not-counterfactual,2769
This is a bit overpriced as well for what you are getting.,0,not-counterfactual,3016
The only issue I had was that the description was somewhat misleading making me think I could use bluetooth on it right out of the box when in fact you have to buy a dongle with it to get that feature to work which ismthe main reason I wanted this speaker set in the first place.,0,not-counterfactual,898
Can not wait to gift this to my nephew.,0,not-counterfactual,3350
"To sum it up, get these in-ear phones, you won't be sorry, I'm a lifelong believer.",0,not-counterfactual,1018
"I have a hard time reading the flood of murder mysteries that go around the world these days, so it's character development and clever comic relief that set a well-told story apart.",0,not-counterfactual,4019
I was hoping it might be brown because I couldn't tell from the photo and the specs didn't say anything about it.,0,not-counterfactual,4304
"This is a dream-maker of an airbrush, handles well and very controllable my came with all 3 tips precision to wild!",0,not-counterfactual,3446
"IF you're buying these CD sleeves PRIMARILY FOR THE COLOR, and the image displayed here is still one of a deep, dark red (much deeper even than Santa's suit or a fire engine, but still a true red with no orange tones), and the supplying company is KFMsupply, then do NOT order these; you would be totally disappointed.",1,counterfactual,3670
I wish I could just hook up a hose rather than connecting and routing an tube internally,1,counterfactual,701
To me this stereo would be perfect if it had a few upgrades.,1,counterfactual,2283
It certainly doesn't live up to the fantastic precedent set by Spy vs.,0,not-counterfactual,1999
I have both microSD slots loaded with SanDisk Ultra 64GB micro SDXC cards with the factory exFAT file system intact and the AK120 see's all of my music files and metadata with no problems whatsoever.,0,not-counterfactual,3194
"I like these candle warmer things, but I've noticed that after the first or second use, the wax doesn't really put off any more scent.",0,not-counterfactual,4905
"But, they are cute and I like them!",0,not-counterfactual,1683
"Your mileage may vary depending on many factors but if it picked up FOX I'd have no need for cable, that was the only one I couldn't get, just too far away.",1,counterfactual,1664
I plugged this thing into the wall and the converter box (my plasma does not have a built-in converter...bad choice of TV but that is not for this review) anyway it worked immediately.,0,not-counterfactual,1286
"I HAVE PRICED DUVETS BEFORE AND WHEN I SAW THE PRICE ON THIS ONE, I WAS STUNNED.",0,not-counterfactual,1550
